                                            Peter J. Rentfrow, Samuel D. Gosling, and Jeff Potter




TABLE 1
State Rankings and z Scores for Each Five-Factor Model (FFM) Personality Dimension

State                    Sample size               E                    A                    C            N            O
New York                   32,602             32 ( 0.31)           47 ( 1.17)            42 ( 0.67)    3 (1.55)     2 (1.32)
North Carolina             16,432             35 ( 0.39)            7 (0.98)              2 (1.65)    24 ( 0.06)   33 ( 0.18)
North Dakota                2,372              1 (3.08)             1 (1.60)             23 (0.13)    43 ( 0.84)   51 ( 3.12)
Ohio                       24,018             25 ( 0.05)           27 (0.04)             38 ( 0.56)    9 (1.10)    24 (0.12)
Oklahoma                    8,095             27 ( 0.14)            9 (0.86)              6 (1.16)    27 ( 0.15)   37 ( 0.46)
Oregon                     10,211             44 ( 1.10)           18 (0.42)             31 ( 0.31)   48 ( 1.27)    3 (1.26)
Pennsylvania               25,915             12 (0.60)            35 ( 0.21)            28 ( 0.19)    6 (1.22)    25 (0.09)
Rhode Island                2,021             40 ( 0.61)           45 ( 0.84)            48 ( 1.55)    2 (1.61)    28 (0.04)
South Carolina              5,918             26 ( 0.07)           20 (0.36)             16 (0.66)    16 (0.53)    26 (0.09)
South Dakota                1,572              7 (0.97)            23 (0.19)             17 (0.65)    49 ( 1.68)   39 ( 0.61)
Tennessee                  10,662             29 ( 0.19)            6 (1.08)             13 (0.72)    23 (0.11)    19 (0.19)
Texas                      45,432             16 (0.42)            25 (0.12)             18 (0.42)    28 ( 0.17)   17 (0.40)
Utah                        8,368              8 (0.89)             4 (1.36)              4 (1.36)    51 ( 2.52)   18 (0.28)
Vermont                     1,637             47 ( 1.22)           12 (0.55)             41 ( 0.66)   18 (0.43)     7 (0.99)
Virginia                   18,093             45 ( 1.16)           44 ( 0.80)            39 ( 0.58)   21 (0.18)    11 (0.71)
Washington                 17,890             48 ( 1.37)           22 (0.19)             25 ( 0.07)   46 ( 1.10)    5 (1.20)
West Virginia               3,412             23 (0.06)            32 ( 0.15)            32 ( 0.41)    1 (2.36)    22 (0.15)
Wisconsin                  15,863              2 (2.14)             5 (1.32)             20 (0.29)    35 ( 0.45)   47 ( 1.31)
Wyoming                     1,536             41 ( 0.78)           49 ( 1.44)            47 ( 1.46)   38 ( 0.59)   50 ( 1.80)

Note. E5Extraversion; A5Agreeableness; C5Conscientiousness; N5Neuroticism; O5Openness.




Volume 3—Number 5                                                                                                          351

